episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,6400,False,0,1,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-57-40,1617634660,3.796121835708618,3.796121835708618,4356,5e08ae53878a,172.17.0.3,3.796121835708618,0,1,3e406_00000,[],[],2131.354,3002.786,1660.861,3853.424,1.622,6400,6400,60.46666666666666,59.75,0.0,1.0,0.001666139955342897,0.014147039949893952,-0.0011074695736169814,0.004975799974054098,0.592019,0.010278709782287478,-3.3358676767349245,0.0
1.3901935394039286,-0.4065408288335463,0.17354112160175963,1000.0,8,8,12800,False,8,2,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-57-43,1617634663,2.9777379035949707,6.773859739303589,4356,5e08ae53878a,172.17.0.3,6.773859739303589,0,2,3e406_00000,"[0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1790.767,3573.887,1591.199,4022.124,1.498,12800,12800,31.65,59.95,0.0,1.0,0.001666139955342897,-0.0011685309186577797,-0.011070907209068536,0.004647934241220355,0.775513,0.005254442663863301,-3.3277215194702148,0.0
1.3901935394039286,-0.4065408288335463,0.17433932867802693,1000.0,8,8,19200,False,16,3,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-57-46,1617634666,3.718588352203369,10.492448091506958,4356,5e08ae53878a,172.17.0.3,10.492448091506958,0,3,3e406_00000,"[0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1896.796,3374.111,1595.241,4011.933,1.669,19200,19200,51.13333333333333,60.0,0.0,1.0,0.001666139955342897,-0.0015567020513117314,-0.010056292656809091,0.0042278788564726714,0.7938902,0.004271712792105972,-3.3264296770095827,0.0
1.3901935394039286,-0.5756701813432801,0.18338066811741838,1000.0,8,8,25600,False,24,4,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-57-50,1617634670,3.250066041946411,13.74251413345337,4356,5e08ae53878a,172.17.0.3,13.74251413345337,0,4,3e406_00000,"[0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1803.72,3548.223,1626.049,3935.922,1.722,25600,25600,40.5,60.05,0.0,0.5,0.001666139955342897,-0.001558101661503315,-0.009038642011582852,0.005073932446539402,0.82028365,0.004813214177265763,-3.3340474128723145,0.0
1.3901935394039286,-0.5756701813432801,0.1799313262925446,1000.0,8,8,32000,False,32,5,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-57-53,1617634673,3.461101531982422,17.20361566543579,4356,5e08ae53878a,172.17.0.3,17.20361566543579,0,5,3e406_00000,"[-0.05311366863425504, 0.498799905076581, 0.05752330481757917, 0.2097637675544597, -0.12776501849129962, 0.5473654567170054, 0.2802625846904807, -0.05616992518716535, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1841.717,3475.018,1593.128,4017.254,1.745,32000,32000,49.68,60.14,0.0,0.25,0.001666139955342897,-0.002169842068105936,-0.007763473968952894,0.004284459967166186,0.87946737,0.005236687455326319,-3.343051815032959,0.0
1.3901935394039286,-0.5756701813432801,0.1799313262925446,1000.0,0,8,38400,False,32,6,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-57-56,1617634676,3.1190388202667236,20.322654485702515,4356,5e08ae53878a,172.17.0.3,20.322654485702515,0,6,3e406_00000,"[0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737, -0.05311366863425504, 0.498799905076581, 0.05752330481757917, 0.2097637675544597, -0.12776501849129962, 0.5473654567170054, 0.2802625846904807, -0.05616992518716535]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1763.593,3628.956,1617.64,3956.381,1.692,38400,38400,40.54,60.18000000000001,0.0,0.25,0.001666139955342897,-0.003525096671655774,-0.008925159890204669,0.004186631999909878,0.83568245,0.004853729554452002,-3.344236831665039,0.0
2.0309019206353627,-0.5756701813432801,0.23513218412105638,1000.0,8,8,44800,False,40,7,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-58-00,1617634680,3.4661035537719727,23.788758039474487,4356,5e08ae53878a,172.17.0.3,23.788758039474487,0,7,3e406_00000,"[0.5121125465527061, 0.737163419726363, 0.15567249988528675, 2.0309019206353627, 0.003141402426451778, 0.4808573478532203, -0.22938408074889383, -0.04298013284966751, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737, -0.05311366863425504, 0.498799905076581, 0.05752330481757917, 0.2097637675544597, -0.12776501849129962, 0.5473654567170054, 0.2802625846904807, -0.05616992518716535]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1786.513,3582.399,1606.049,3984.935,1.666,44800,44800,40.38,60.1,0.0,0.125,0.001666139955342897,0.0014025460742413997,-0.006004422446712851,0.006481884652748704,0.86388135,0.007400684906169772,-3.3372625970840453,0.0
2.0309019206353627,-0.5756701813432801,0.2670331904160455,1000.0,8,8,51200,False,48,8,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-58-03,1617634683,3.5289249420166016,27.31768298149109,4356,5e08ae53878a,172.17.0.3,27.31768298149109,0,8,3e406_00000,"[-0.3269927169236443, 1.9760145806363294, -0.042193537276908555, 0.3389150305782087, 0.37596390445947847, 1.1312651101263564, 0.1797684569264848, -0.22043505339837488, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737, -0.05311366863425504, 0.498799905076581, 0.05752330481757917, 0.2097637675544597, -0.12776501849129962, 0.5473654567170054, 0.2802625846904807, -0.05616992518716535, 0.5121125465527061, 0.737163419726363, 0.15567249988528675, 2.0309019206353627, 0.003141402426451778, 0.4808573478532203, -0.22938408074889383, -0.04298013284966751]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1779.774,3595.962,1629.036,3928.703,1.632,51200,51200,51.2,60.06,0.0,0.125,0.001666139955342897,-0.002096715606749058,-0.00804338786751032,0.005261952918954193,0.8949444,0.005477764261886477,-3.3327983522415163,0.0
2.0309019206353627,-0.5756701813432801,0.24525618908651334,1000.0,8,8,57600,False,56,9,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-58-06,1617634686,3.069383382797241,30.38706636428833,4356,5e08ae53878a,172.17.0.3,30.38706636428833,0,9,3e406_00000,"[0.07341728222283561, -0.006203449380049242, 0.12571451174092974, 0.038272701529786346, 0.14660959079790103, 0.2412876417737666, 0.3468224371269244, -0.04916726693753304, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737, -0.05311366863425504, 0.498799905076581, 0.05752330481757917, 0.2097637675544597, -0.12776501849129962, 0.5473654567170054, 0.2802625846904807, -0.05616992518716535, 0.5121125465527061, 0.737163419726363, 0.15567249988528675, 2.0309019206353627, 0.003141402426451778, 0.4808573478532203, -0.22938408074889383, -0.04298013284966751, -0.3269927169236443, 1.9760145806363294, -0.042193537276908555, 0.3389150305782087, 0.37596390445947847, 1.1312651101263564, 0.1797684569264848, -0.22043505339837488]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1756.205,3644.222,1614.275,3964.628,1.631,57600,57600,37.5,60.1,0.0,0.125,0.001666139955342897,-0.004718114212155342,-0.00883219056762755,0.0033696139743551613,0.9063694,0.005955691281706095,-3.3337042045593264,0.0
2.0309019206353627,-0.5756701813432801,0.2359704606501064,1000.0,8,8,64000,False,64,10,5fd7ba49d09944968c183d1704326f64,2021-04-05_07-58-10,1617634690,3.6725220680236816,34.05958843231201,4356,5e08ae53878a,172.17.0.3,34.05958843231201,0,10,3e406_00000,"[0.2730309581458015, 0.4573546501892114, 0.14140228355108664, 0.21563409996178629, 0.11098674285623611, 0.3257932055104875, -0.02877425153763491, -0.12766479591491386, 0.7180517283038439, 0.05716885144706452, 0.03321272832458888, -0.4065408288335463, 0.11886541987890276, 1.3901935394039286, -0.2699992875641509, -0.25262317814655433, 0.29305685013229676, -0.07362531327339317, -0.04985748369256404, 0.5705460549827344, 0.5977767597784807, 0.1261286416201477, -0.2599714208510777, 0.1970461973377291, 0.047351450837661124, 0.43473185596138353, 0.42164197609377707, -0.5756701813432801, 0.09992997523494473, -0.15322235804910778, 0.632381260780458, 0.7045627964537737, -0.05311366863425504, 0.498799905076581, 0.05752330481757917, 0.2097637675544597, -0.12776501849129962, 0.5473654567170054, 0.2802625846904807, -0.05616992518716535, 0.5121125465527061, 0.737163419726363, 0.15567249988528675, 2.0309019206353627, 0.003141402426451778, 0.4808573478532203, -0.22938408074889383, -0.04298013284966751, -0.3269927169236443, 1.9760145806363294, -0.042193537276908555, 0.3389150305782087, 0.37596390445947847, 1.1312651101263564, 0.1797684569264848, -0.22043505339837488, 0.07341728222283561, -0.006203449380049242, 0.12571451174092974, 0.038272701529786346, 0.14660959079790103, 0.2412876417737666, 0.3468224371269244, -0.04916726693753304]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1780.742,3594.007,1619.373,3952.148,1.639,64000,64000,54.4,60.1,0.0,0.125,0.001666139955342897,-0.002424801709130406,-0.007194719025865198,0.0040311099216341975,0.9017031,0.005910464888438582,-3.3549314594268798,0.0
