episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.6158914730239617,-0.3098437017870368,-0.11376358400080659,1000.0,8,8,9600,False,8,1,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-19,1617635959,5.4609215259552,5.4609215259552,9872,5e08ae53878a,172.17.0.3,5.4609215259552,0,1,1bd20_00003,"[-0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.1963422657746657,0.934842102335057,0.03943427913294148,0.9506668377478454,0.0,2975.461,3226.391,2480.094,3870.821,1.389,9600,9600,47.525,60.087500000000006,0.0,1.0,0.00025671318726952605,-0.04351681102067232,-0.056126533299684526,0.0018257715133950115,0.64028907,0.010783949680626393,-3.316581608454386,0.0
0.6158914730239617,-0.5792657433481356,-0.2338684628683544,1000.0,8,8,19200,False,16,2,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-24,1617635964,5.31773567199707,10.77865719795227,9872,5e08ae53878a,172.17.0.3,10.77865719795227,0,2,1bd20_00003,"[-0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.19603191172015572,0.9454702987431987,0.03977561064757965,0.9414140612261719,0.0,2924.824,3282.249,2458.839,3904.282,1.443,19200,19200,44.925,60.3375,0.0,1.0,0.00025671318726952605,-0.043436654408772785,-0.05625718542685111,0.0013585968175902964,0.8056011,0.011461935838063557,-3.345329465866089,0.0
0.9436793790748828,-0.5792657433481356,-0.08676338816603901,1000.0,8,8,28800,False,24,3,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-30,1617635970,5.435742139816284,16.214399337768555,9872,5e08ae53878a,172.17.0.3,16.214399337768555,0,3,1bd20_00003,"[0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.1942781989411444,0.9564272563146154,0.04019318653777567,0.9414184713557198,0.0,2933.761,3272.25,2464.55,3895.235,1.55,28800,28800,45.537499999999994,60.4,0.0,1.0,0.00025671318726952605,-0.04482664001484712,-0.05781690690666437,0.0020230026093001167,0.80949086,0.010967262759804726,-3.32692995707194,0.0
0.9436793790748828,-0.5792657433481356,-0.08414656669607877,1000.0,8,8,38400,False,32,4,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-35,1617635975,5.391329765319824,21.60572910308838,9872,5e08ae53878a,172.17.0.3,21.60572910308838,0,4,1bd20_00003,"[-0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.1930148575621328,0.9656097727416855,0.04055444817708896,0.9436613013528983,0.0,2943.033,3261.941,2451.93,3915.284,1.541,38400,38400,50.957142857142856,60.39999999999999,0.0,1.0,0.00025671318726952605,-0.045922183779378734,-0.059956200793385504,0.0019577697462712725,0.8527574,0.01207624594370524,-3.3388301849365236,0.0
0.9436793790748828,-0.5792657433481356,-0.09519440228009413,1000.0,16,8,48000,False,48,5,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-41,1617635981,5.774994373321533,27.380723476409912,9872,5e08ae53878a,172.17.0.3,27.380723476409912,0,5,1bd20_00003,"[0.3642644426645194, -0.10930129476112982, 0.7705439284894202, -0.3473381397776488, -0.23762231038082027, -0.28441587232153476, -0.32951199873353343, -0.543996104110615, -0.1737283421308946, -0.1644661518837427, -0.3929913289905753, -0.0744843319678774, 0.2083482013810709, -0.17829686949542511, -0.21609076713993036, -0.1675542360112804, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.19860716083497887,0.9779874351822668,0.04101574332665076,0.9469814008742569,0.0,2997.041,3203.16,2470.913,3885.203,1.565,48000,48000,43.36666666666667,60.34444444444445,0.0,1.0,0.00025671318726952605,-0.048211679855982466,-0.06236283821985125,0.0017981149426971872,0.9043339,0.012353044636547565,-3.3775502268473305,0.0
0.9436793790748828,-0.5792657433481356,-0.05144922450757082,1000.0,8,8,57600,False,56,6,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-46,1617635986,5.505019903182983,32.885743379592896,9872,5e08ae53878a,172.17.0.3,32.885743379592896,0,6,1bd20_00003,"[-0.4251194518986153, -0.03920690865993748, 0.10764922029803947, 0.0738024064627012, 0.35570312713052066, 0.24490454763305936, 0.5549924290819253, 0.8154493669728591, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936, 0.3642644426645194, -0.10930129476112982, 0.7705439284894202, -0.3473381397776488, -0.23762231038082027, -0.28441587232153476, -0.32951199873353343, -0.543996104110615, -0.1737283421308946, -0.1644661518837427, -0.3929913289905753, -0.0744843319678774, 0.2083482013810709, -0.17829686949542511, -0.21609076713993036, -0.1675542360112804]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20013411403923426,0.9820073008503145,0.04117137318216823,0.9481044771714746,0.0,3004.518,3195.189,2468.584,3888.868,1.584,57600,57600,46.7,60.4,0.0,1.0,0.00025671318726952605,-0.0468458387379845,-0.0620070441501836,0.0026376853277906777,0.85726637,0.012523522240420182,-3.3835866991678873,0.0
1.4918513601184058,-0.5792657433481356,0.024882872215508986,1000.0,8,8,67200,False,64,7,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-52,1617635992,5.442854166030884,38.32859754562378,9872,5e08ae53878a,172.17.0.3,38.32859754562378,0,7,1bd20_00003,"[-0.22673031148635758, 0.08707790943612848, 0.0583300730699472, 1.2487273529616196, 0.9738366123779683, 0.7971673189993682, 0.04340007873946128, 1.4918513601184058, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936, 0.3642644426645194, -0.10930129476112982, 0.7705439284894202, -0.3473381397776488, -0.23762231038082027, -0.28441587232153476, -0.32951199873353343, -0.543996104110615, -0.1737283421308946, -0.1644661518837427, -0.3929913289905753, -0.0744843319678774, 0.2083482013810709, -0.17829686949542511, -0.21609076713993036, -0.1675542360112804, -0.4251194518986153, -0.03920690865993748, 0.10764922029803947, 0.0738024064627012, 0.35570312713052066, 0.24490454763305936, 0.5549924290819253, 0.8154493669728591]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20075523085350994,0.9849533965631595,0.041285858730428046,0.9486132958401852,0.0,2993.413,3207.042,2474.522,3879.537,1.565,67200,67200,49.971428571428575,60.39999999999999,0.0,1.0,0.00025671318726952605,-0.04927583379670977,-0.06410306666046381,0.0026952315028756857,0.88159233,0.01213200310866038,-3.4390750980377196,0.0
1.4918513601184058,-0.5792657433481356,0.06899213167092275,1000.0,8,8,76800,False,72,8,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-19-57,1617635997,5.447656631469727,43.776254177093506,9872,5e08ae53878a,172.17.0.3,43.776254177093506,0,8,1bd20_00003,"[0.5039649223300999, -0.046980152065858705, -0.19930716932625925, 0.6651297834806338, 1.4778832104246309, 0.6004196775383797, 0.26548790948551004, 0.10833147664672582, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936, 0.3642644426645194, -0.10930129476112982, 0.7705439284894202, -0.3473381397776488, -0.23762231038082027, -0.28441587232153476, -0.32951199873353343, -0.543996104110615, -0.1737283421308946, -0.1644661518837427, -0.3929913289905753, -0.0744843319678774, 0.2083482013810709, -0.17829686949542511, -0.21609076713993036, -0.1675542360112804, -0.4251194518986153, -0.03920690865993748, 0.10764922029803947, 0.0738024064627012, 0.35570312713052066, 0.24490454763305936, 0.5549924290819253, 0.8154493669728591, -0.22673031148635758, 0.08707790943612848, 0.0583300730699472, 1.2487273529616196, 0.9738366123779683, 0.7971673189993682, 0.04340007873946128, 1.4918513601184058]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20084199605306058,0.9868264003807722,0.04135856733963537,0.9484476137922159,0.0,2968.119,3234.372,2496.186,3845.867,1.595,76800,76800,43.975,60.3875,0.0,1.0,0.00025671318726952605,-0.048218343084057175,-0.06393999288479488,0.002534911101683974,0.8981689,0.013186740639309089,-3.4292883523305258,0.0
1.4918513601184058,-0.5792657433481356,0.1052972942897068,1000.0,8,8,86400,False,80,9,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-20-03,1617636003,5.473344802856445,49.24959897994995,9872,5e08ae53878a,172.17.0.3,49.24959897994995,0,9,1bd20_00003,"[0.21854863068901853, 0.4770037178935258, 0.20033548600413953, 0.6058099389509839, 0.8052727049827031, 0.49861691239120165, 0.31240095524144684, 0.3383617167170867, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936, 0.3642644426645194, -0.10930129476112982, 0.7705439284894202, -0.3473381397776488, -0.23762231038082027, -0.28441587232153476, -0.32951199873353343, -0.543996104110615, -0.1737283421308946, -0.1644661518837427, -0.3929913289905753, -0.0744843319678774, 0.2083482013810709, -0.17829686949542511, -0.21609076713993036, -0.1675542360112804, -0.4251194518986153, -0.03920690865993748, 0.10764922029803947, 0.0738024064627012, 0.35570312713052066, 0.24490454763305936, 0.5549924290819253, 0.8154493669728591, -0.22673031148635758, 0.08707790943612848, 0.0583300730699472, 1.2487273529616196, 0.9738366123779683, 0.7971673189993682, 0.04340007873946128, 1.4918513601184058, 0.5039649223300999, -0.046980152065858705, -0.19930716932625925, 0.6651297834806338, 1.4778832104246309, 0.6004196775383797, 0.26548790948551004, 0.10833147664672582]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20051056326647046,0.9871071530053944,0.04136694937574062,0.946920864347868,0.0,2917.799,3290.151,2546.753,3769.506,1.558,86400,86400,51.650000000000006,55.087500000000006,0.0,1.0,0.00025671318726952605,-0.04915539370228847,-0.06493487879013021,0.002667548325844109,0.89108086,0.013111936238904795,-3.4858380349477134,0.0
2.1986463471571245,-0.5792657433481356,0.2607834457260877,1000.0,16,8,96000,False,96,10,96751bcb3e3240518e37e60a1301dade,2021-04-05_08-20-08,1617636008,5.5304648876190186,54.78006386756897,9872,5e08ae53878a,172.17.0.3,54.78006386756897,0,10,1bd20_00003,"[1.1804230199755716, 0.9744374265645843, 0.33077142846349883, 1.565330100360533, 0.12135882730445346, 2.1986463471571245, 0.8197633363734413, 1.19333336405984, 0.5309272111251147, 1.303444322770495, 1.3201789433036768, 1.9543924873054035, 1.3195878679072122, 0.9257745771505372, 0.9292899576638982, -0.05623197095750998, -0.2730057906698946, -0.3098437017870368, 0.05246686606202822, -0.28847109826207595, -0.20149102729828705, 0.6158914730239617, -0.2800418599765745, -0.2256135330985738, -0.09764532624006972, -0.5792657433481356, -0.3131686301137374, -0.3337962513790893, -0.3237455511238717, -0.3471530745022008, -0.3757209631685672, -0.461291194011546, 0.40187144950890885, -0.5389089928374595, 0.09694741505741189, 0.22456183419817166, 0.4068231516196743, 0.18826926906883856, -0.06366941578169438, 0.9436793790748828, -0.2711022328702336, 0.5507635302784748, -0.5643102888616142, 0.43979167470866765, -0.30022385740072843, -0.4440896304508291, 0.13706120019105783, -0.15825921388437936, 0.3642644426645194, -0.10930129476112982, 0.7705439284894202, -0.3473381397776488, -0.23762231038082027, -0.28441587232153476, -0.32951199873353343, -0.543996104110615, -0.1737283421308946, -0.1644661518837427, -0.3929913289905753, -0.0744843319678774, 0.2083482013810709, -0.17829686949542511, -0.21609076713993036, -0.1675542360112804, -0.4251194518986153, -0.03920690865993748, 0.10764922029803947, 0.0738024064627012, 0.35570312713052066, 0.24490454763305936, 0.5549924290819253, 0.8154493669728591, -0.22673031148635758, 0.08707790943612848, 0.0583300730699472, 1.2487273529616196, 0.9738366123779683, 0.7971673189993682, 0.04340007873946128, 1.4918513601184058, 0.5039649223300999, -0.046980152065858705, -0.19930716932625925, 0.6651297834806338, 1.4778832104246309, 0.6004196775383797, 0.26548790948551004, 0.10833147664672582, 0.21854863068901853, 0.4770037178935258, 0.20033548600413953, 0.6058099389509839, 0.8052727049827031, 0.49861691239120165, 0.31240095524144684, 0.3383617167170867]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20137185115208797,0.989430197834739,0.04136750442961309,0.9440731733427605,0.0,2927.911,3278.788,2542.557,3775.726,1.557,96000,96000,48.7,60.375,0.0,1.0,0.00025671318726952605,-0.043997402998308344,-0.06332471041629711,0.004627092564478516,0.8660265,0.014700213260948659,-3.5132003084818524,0.0
